Strain	Gene	Gene accession (nt)
pJN25	stx1a	M19473(163-1389)
DG131-3	stx1c	Z36901.1(156-1383)
MHI813	stx1d	AY170851.1(11-1237)
M12X01451	stx1e	KF926684(860-2086)
EDL933	stx2a	X07865.1(239-1479)
EH250	stx2b	AF043627.1(177-1412)
031	stx2c	L11079.1(177-1417)
C165-02	stx2d	DQ059012.1(1-1241)
S1191	stx2e	M21534.1(242-1477)
F08-101-31	stx2f	AB472687.1(1-1236)
7v	stx2g	AY286000.1(191-1432)
STEC299	stx2h	CP022279(4122529-4123764)
CB10366	stx2i	FN252457.1(234-1475)
5447	stx2j	MZ571121.1(300-1533)
STEC309	stx2k	CP041435.1(4498391-4499631)
FHI 1106-1092	stx2l	AM904726.1(87-1327)
E75_19	stx2m	complete_CDS_JAOZWX010000239(146..1105:1106-1117:1118..1381)_from_assembly_GCA_025984515.1
2013C-3244	stx2n	CP113094.1(2062856-2064091)
03-3638	stx2o	MZ229604.1(1-1236)
